Model,Kind,Success%,Score,Total Reward,Rewards,Penalties
overworld-sword,,100.0,4.0,4.3,4.9,-0.5
overworld1beams,,4.0,5.6,-11.0,15.0,-26.0
overworld1nobeams,,99.0,6.0,3.0,12.1,-9.1
dungeon1nobeams,,87.0,11.7,17.2,43.8,-26.6
dungeon1beams,,73.0,12.8,22.8,46.1,-23.3
dungeon1bombs,,0.0,-0.8,-11.5,4.8,-16.3
dungeon1boss,,80.0,9.2,4.8,7.9,-3.0
